x1,1atm,x2,3atm,x3,5atm,x4,10atm,x5,25atm,x6,44atm,,,,,,
0.527104,32.658,0.570666,33.607,0.548749,15.512,0.601555,29.403,0.66982,120.89,0.70185,116.53,,,,,,
0.551626,62.496,0.602499,72.116,0.592439,42.46,0.619254,49.465,0.69692,218.96,0.71745,174.24,,,,,,
0.561696,78.96,0.604606,85.226,0.59601,49.465,0.655148,115.12,0.71581,245.8,0.74784,309.66,,,,IDT values are in microseconds,,
0.570462,108.71,0.632703,166.24,0.628335,93.761,0.681453,255.42,0.72402,321.36,0.80862,888.9,,,,,,
0.592714,176.88,0.657549,332.08,0.652204,191.82,0.706799,346.65,0.75277,519,,,,,,,,
0.595153,172.71,0.680771,629.45,0.681111,407.72,0.709064,477.26,0.77659,719.2,,,,,,,,
0.595637,193.66,0.683692,712.61,0.690691,548.1,0.84066,5475,0.78645,762,,,,,,,,
0.62244,318.12,0.696201,887.54,0.710672,776.52,0.85791,10699,0.81191,997.1,,,,,,,,
0.629748,375.95,0.721872,1204.6,,,0.87105,18639,0.89897,4895,,,,,,,,
0.645825,588.77,,,,,0.87762,21315,0.91704,6403,,,,,,,,
0.670354,908.97,,,,,0.90883,33777,0.92361,7322,,,,,,,,
,,,,,,0.92197,57730,0.94086,10338,,,,,,,,
,,,,,,0.94579,88020,0.95647,13014,,,,,,,,
,,,,,,0.96468,208270,0.98111,18382,,,,,,,,
,,,,,,,,1.00164,27492,,,,,,,,
