x1,1atm,x2,3atm,x3,5atm,x4,10atm,x5,25atm,,,
0.519516,27.311,0.548871,25.772,0.569355,28.856,0.581935,21.191,0.66637,164.01,,,
0.521774,33.806,0.577258,55.771,0.583065,38.517,0.605161,42.92,0.68164,213.93,,,
0.528387,37.16,0.578065,54.205,0.605968,73.003,0.637419,88.567,0.69959,289.1,,,
0.550968,60.802,0.608871,125.94,0.617581,92.939,0.659032,155.61,0.72923,518.9,,,IDT values are in microseconds
0.55129,60.514,0.610161,137.81,0.639516,174.49,0.675645,245.18,0.74448,608.3,,,
0.551935,70.429,0.632097,228.72,0.665484,337.02,0.693387,373.69,0.76242,752.1,,,
0.560484,64.34,0.657097,413.39,0.678871,426.99,0.703871,473.5,0.77049,765.2,,,
0.56129,72.094,0.667742,570.49,0.692742,632.63,0.739839,847.38,0.91856,5552,,,
0.563065,87.148,0.684032,750.66,,,0.75534,1588.5,0.94009,6986,,,
0.575806,130.35,,,,,0.90438,24329,0.96162,8948,,,
0.575968,99.476,,,,,0.92952,37219,0.9688,9775,,,
0.587742,176.5,,,,,0.94478,50310,0.98853,11662,,,
0.589839,194.97,,,,,0.96453,65600,1.01277,17527,,,
0.598871,211.27,,,,,0.97351,81160,1.02983,25435,,,
0.613065,305.68,,,,,0.99326,111630,1.05586,36886,,,
0.622258,383.69,,,,,1.01213,183450,1.08012,63920,,,
0.630484,435.97,,,,,,,1.0864,69830,,,
0.637258,552.5,,,,,,,,,,,
0.646613,639.78,,,,,,,,,,,
0.649032,716.84,,,,,,,,,,,
0.660484,916.94,,,,,,,,,,,
