x1,1atm,x2,3atm,x3,5atm,x4,10atm,x5,25atm
0.546176,43.655,0.578581,36.392,0.566267,23.578,0.60175,24.596,0.65264,171.68
0.551523,50.369,0.596079,59.475,0.566753,19.481,0.616332,34.178,0.6642,243.88
0.561082,64.544,0.621679,125.15,0.607907,75.846,0.650518,101.878,0.67998,346.45
0.58571,127.04,0.634316,167.4,0.608555,61.48,0.676766,200.52,0.70736,521.8
0.588788,136.46,0.655217,323.29,0.620706,84.625,0.731692,654.18,0.74737,936.7
0.615684,273.77,0.676604,475.66,0.624271,94.887,0.731854,591.79,1.01498,14652
0.61779,315.89,0.684867,720.34,0.665911,264.52,0.9895,58510,1.03394,17807
0.63383,378.59,,,0.708036,603.47,1.00423,79940,1.06027,26302
0.642579,544.01,,,,,1.01792,91640,1.07921,38850
,,,,,,1.02315,135360,1.10972,75400
,,,,,,1.02942,220410,1.1444,224750
